"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Incheon","Business facilities management and business support services; rental and leasing activities","At current prices","","18109","22885","30531","49449","63615","69677","100685","148349","168551","172000","207100","228593","283217","278436","246923","289456","309563","352639","422115","493088","573878","587593","600796","698439","726543","874895","949933","1092766","1355277","1685298","1986712","2098906","2312432","2324086","2684150","2529565","2741174","2817202","3220885","3300470",
"Incheon","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","27940","35375","44836","64587","71940","73339","109829","154348","174504","165274","198485","261108","316836","320014","370366","421318","448354","499907","594739","657544","756255","771362","804310","903403","921862","1076643","1180426","1315456","1621933","1969767","2214580","2325853","2526855","2454457","2781921","2529565","2709297","2669664","2909199","2923789",
"Incheon","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","",".11",".12",".23",".08",".01",".33",".3",".13","-.05",".18",".28",".19",".01",".16",".12",".06",".1",".17",".11",".16",".02",".05",".13",".03",".21",".13",".16",".37",".41",".28",".12",".21","-.07",".33","-.26",".19","-.04",".22",".01",
"Gwangju","GRDP at market prices","At current prices","","","","2448077","3217311","3701762","4748232","5643316","6540413","7377159","8821798","10412807","11807411","12754753","12113072","12996266","14455426","15887645","17675919","18332927","19544264","21361924","22985879","24884915","25595300","26715816","29673477","30680959","31883492","33457826","35279756","37243072","39427386","41047259","42560850","44387597","45603430","47377153","49223290","51423328","54836685",
"Gwangju","GRDP at market prices","At chained 2020 year prices","","","","8353498","10059584","10787691","12297336","13313174","13883228","14949671","16552171","18658758","20431122","21010751","18883600","20483160","22382816","23688342","25551317","25681277","26499798","28577277","29899306","31207039","31605610","30778532","34750425","35531610","36273669","37626173","39026661","39740353","41006076","42364984","43465885","44768906","45603430","47473959","47950970","48319030","49500789",
"Gwangju","GRDP at market prices","Substantial contribution","","","0","0","20.42","7.24","13.99","8.26","4.28","7.68","10.72","12.73","9.5","2.84","-10.12","8.47","9.27","5.83","7.86",".51","3.19","7.84","4.63","4.37","1.28","-2.62","12.9","2.25","2.09","3.73","3.72","1.83","3.18","3.31","2.6","3","1.86","4.1","1",".77","2.45",
"Gwangju","Mining and quarrying","At current prices","","","","3660","1813","1785","10472","7540","8958","8005","9790","19053","49143","9835","12631","10417","7534","12633","30995","17937","5035","15421","19635","10999","17984","19505","18128","10651","6908","9105","9089","7785","6832","7096","7538","6758","4416","3426","4702","3948","2893",
"Gwangju","Mining and quarrying","At chained 2020 year prices","","","","13598","6895","6743","28756","18267","21901","19585","20733","40095","102914","19382","23445","21344","16806","24731","34073","29789","13578","27248","39502","20877","28230","31258","25886","13007","8258","10338","10454","7823","6609","6524","7068","6367","4416","3625","4529","3017","2139",
"Gwangju","Mining and quarrying","Substantial contribution","","","0","0","-.07","0",".16","-.08",".03","-.01",".01",".1",".29","-.34",".02","-.01","-.02",".02",".03","-.02","-.05",".03",".03","-.04",".02",".01","-.01","-.03","-.01",".01","0","-.01","0","0","0","0","0","0","0","0","0",
"Gwangju","Manufacturing","At current prices","","","","676844","938033","1018468","1080716","1253080","1224434","1395497","1805348","2227396","2631769","2499737","2497681","2812138","3110403","3374497","3631750","3518493","4077446","5174560","5341448","6190653","5985881","6611473","8230250","8514854","8427708","8957169","9433846","10206929","10324265","10746600","10621512","10888426","11496642","11627262","12633482","13286037","14703120",
"Gwangju","Manufacturing","At chained 2020 year prices","","","","1609307","2046019","2097133","2124167","2313114","2173281","2335425","2722863","3191283","3851054","3545166","3204200","3872605","4357535","4761783","5130042","5016449","5520128","7099570","6960504","7307088","7386001","6696882","9505786","9692304","9402537","9768866","10265755","10601892","10318977","10895156","10889060","11051690","11496642","12076461","12586622","12768474","13250328",
"Gwangju","Manufacturing","Substantial contribution","","","0","0","7.5",".73",".35","2.02","-1.34","1.4","3.14","3.52","4.42","-1.77","-1.88","4.3","2.71","2","1.64","-.45","1.93","5.97","-.47","1.16",".27","-2.18","10.38",".54","-.83","1.03","1.36",".88","-.73","1.46","-.01",".37",".99","1.27","1.04",".37",".98",
"Gwangju","Manufacture of Food Products and Tobacco Products","At current prices","","","","81087","99119","127788","117258","145712","141973","176334","187490","188156","203246","203411","249456","271138","281099","258754","264590","269212","286430","384133","355474","306921","349685","379119","357654","421604","319330","342952","344410","369332","402054","455610","484231","525530","733237","607044","598955","621460","658159",
"Gwangju","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","","","324701","378227","434420","349163","393037","351474","386227","358666","360676","375502","357969","372984","397490","410037","377748","371843","368740","364689","489692","460259","359695","374927","424154","440347","504692","385700","408502","399765","403525","415568","475229","499635","539456","733237","639358","656796","627753","653381",
"Gwangju","Manufacture of Food Products and Tobacco Products","Substantial contribution","","","0","0",".55",".46","-.68",".31","-.27",".21","-.17",".01",".07","-.08",".07",".14",".07","-.15","-.03","-.01","-.02",".5","-.11","-.34",".05",".18",".05",".18","-.32",".06","-.02",".01",".03",".15",".06",".09",".43","-.21",".03","-.05",".05",
"Gwangju","Manufacture of Textiles and Leather","At current prices","","","","64713","67699","74641","47008","46213","44972","54737","62323","68752","81407","86014","119072","112022","116290","114036","85113","78101","76382","95905","83913","90521","116153","121159","145503","182289","157868","159154","153389","159174","156586","146144","142011","116181","119607","109852","133049","133857","130916",
"Gwangju","Manufacture of Textiles and Leather","At chained 2020 year prices","","","","190967","192033","203671","125372","101721","86511","94958","99661","102772","114909","112940","137575","138296","143316","139916","110855","99937","94468","120722","110173","113451","148150","149186","174959","200778","178863","180671","175379","174881","163200","163042","154494","118554","119607","115166","126325","112424","113149",
"Gwangju","Manufacture of Textiles and Leather","Substantial contribution","","","0","0",".01",".13","-.78","-.19","-.12",".07",".04",".02",".08","-.01",".15",".01",".03","-.02","-.15","-.05","-.02",".11","-.04",".01",".11","0",".08",".07","-.06",".01","-.01","0","-.03","0","-.02","-.08","0","-.01",".02","-.03","0",
"Gwangju","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","","","11284","15859","22381","27898","33181","32569","32433","45879","47673","74195","85506","57510","79306","70476","73031","85520","90379","91126","99815","94701","262753","107134","127376","122055","113271","132554","125401","137329","133888","149645","137821","140537","143576","148584","165492","161907","153634","148888",
"Gwangju","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","","","35706","45797","62587","74474","78671","72146","65766","78515","77269","120259","138480","88274","110913","98228","93397","103953","112811","108152","119042","109701","120475","105858","122355","145965","132241","151465","137822","149171","140733","154464","142328","135133","140139","148584","157583","144403","126882","125065",
"Gwangju","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","","0","0",".13",".18",".11",".03","-.05","-.04",".09","-.01",".25",".1","-.24",".12","-.07","-.02",".05",".04","-.02",".05","-.04",".04","-.13",".07",".09","-.04",".05","-.04",".03","-.02",".04","-.03","-.02",".01",".02",".02","-.03","-.04","0",
"Gwangju","Manufacture of coal, fuel, chemical products","At current prices","","","","180842","205798","182762","161358","218331","226195","253280","228561","301624","367910","278646","429616","389528","394774","424035","491106","426023","512265","716394","704079","766887","797086","764830","1050919","986347","888044","903172","982836","1047274","1118456","1115727","1042653","1139247","1209331","1255563","1284557","1329799","1492069",
"Gwangju","Manufacture of coal, fuel, chemical products","At chained 2020 year prices","","","","432272","464166","403614","390761","434105","434248","458465","416903","501623","628757","443328","601194","621980","658285","720807","806577","670344","733297","975729","997328","1018772","1141380","1000012","1247693","1165153","1016913","1049369","1124447","1103576","1157541","1231156","1162111","1183791","1209331","1337125","1269812","1161823","1240068",
"Gwangju","Manufacture of coal, fuel, chemical products","Substantial contribution","","","0","0",".55","-.83","-.16",".38","0",".19","-.31",".53",".73","-.92",".78",".12",".17",".26",".32","-.47",".22",".87",".07",".07",".37","-.39",".71","-.23","-.41",".09",".19","-.05",".14",".18","-.15",".05",".06",".28","-.13","-.22",".17",
"Gwangju","Manufacture of Other Non-metallic Mineral Products and Metal Products","At current prices","","","","44169","39377","48541","53526","59536","59416","83526","123537","153809","198140","220225","156239","230245","278231","303187","372287","396116","490661","555277","561762","655256","641858","747827","967202","962891","962922","944563","1044684","1047825","1100587","1097965","1115494","1162988","1111788","1339699","1406677","1555296","1746010",
"Gwangju","Manufacture of Other Non-metallic Mineral Products and Metal Products","At chained 2020 year prices","","","","146702","118184","145194","167313","155554","155768","199374","287620","325684","420953","443904","276056","428052","510565","537421","646907","666981","728071","809932","757152","884703","910480","822083","1012786","966958","971664","947349","1057649","1097218","1123031","1106860","1126785","1159466","1111788","1040396","890058","923158","985933",
"Gwangju","Manufacture of Other Non-metallic Mineral Products and Metal Products","Substantial contribution","","","0","0","-.35",".28",".2","-.08","0",".25",".5",".19",".43",".09","-.65",".71",".34",".1",".39",".07",".2",".28","-.17",".41",".08","-.24",".65","-.15",".02","-.08",".33",".11",".07","-.04",".05",".08","-.11","-.16","-.41",".11",".21",
"Gwangju","Manufacture of electrical, Precision Instruments","At current prices","","","","112857","190044","208540","224603","236226","220254","309324","446001","625585","694440","772742","857868","899586","1014632","1058838","1152706","1202390","1218166","1522021","1568743","1844421","1857442","2042524","2476154","2232952","2405971","2429596","2362370","2639437","2400599","2592884","2695476","2857691","3518209","3750858","3986647","3428222","3881131",
"Gwangju","Manufacture of electrical, Precision Instruments","At chained 2020 year prices","","","","135659","200329","205908","214692","239679","214245","282454","346981","435996","535662","597147","633234","725843","859563","969082","1088167","1196332","1175421","1574851","1698479","1894843","1873135","2283065","2548256","2268750","2396657","2376320","2356825","2547058","2297412","2364010","2493045","2879676","3518209","3876406","4132428","3839104","3978645",
"Gwangju","Manufacture of electrical, Precision Instruments","Substantial contribution","","","0","0","2.2",".16",".24",".55","-.44","1.07",".96","1.3","1.37",".68",".37","1.04","1.28",".89",".82",".65","-.11","2.12",".56",".79","-.08","1.59",".89","-.92",".41","-.06","-.06",".54","-.69",".18",".34",".98","1.43",".79",".52","-.57",".24",
"Gwangju","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At current prices","","","","181892","320137","353815","449065","513881","499055","485863","711557","841797","1012431","853193","627920","830313","954901","1142616","1180428","1056272","1402416","1801015","1972776","2263894","2116523","2428638","3110763","3615500","3561019","4052331","4408828","4809999","4996338","5200449","5001110","4943213","4655886","4398754","5061690","6063769","6645947",
"Gwangju","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At chained 2020 year prices","","","","740601","1181150","1223011","1403382","1554688","1476733","1407003","1842593","2182066","2580423","2092571","1358341","1927099","2195710","2507298","2590921","2326883","3007510","3864448","3518535","3591123","3540041","2089316","3907039","4515079","4319244","4726767","5079743","5197656","5086364","5499468","5379438","5033122","4655886","4910427","5453952","6082356","6240266",
"Gwangju","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","Substantial contribution","","","0","0","4.42",".35","1.41","1.02","-.46","-.36","2.04","1.49","1.48","-1.62","-2.35","2.17",".89",".94",".24","-.68","1.69","2.04","-.75",".18","-.13","-3.39","7.91","1.63","-.51","1.05",".9",".29","-.28","1.03","-.28","-.76","-.83",".56","1.03","1.18",".31",
"Gwangju","Professional, scientific and technical activities","At current prices","","","","28329","30716","38491","51129","78570","141078","157972","173584","199212","216178","264388","299879","301754","352461","353457","395849","505717","548802","513072","632451","687389","752019","778342","801254","889703","966743","922392","951972","1054955","1134831","1105678","1304679","1404180","1512567","1742188","1724762","1841771","1898177",
"Gwangju","Professional, scientific and technical activities","At chained 2020 year prices","","","","163638","157359","170064","184649","261930","365208","464912","445032","459348","478284","587121","626371","632072","697205","696174","739719","814464","853376","977969","1139034","1195072","1157050","1110698","1063219","1146541","1199131","1131896","1159669","1245834","1322377","1232569","1410525","1453306","1512567","1641745","1553890","1557217","1557732",
"Gwangju","Professional, scientific and technical activities","Substantial contribution","","","0","0","-.04",".08",".09",".45",".55",".59","-.09",".06",".08",".42",".14",".02",".24","0",".14",".23",".13",".41",".4",".14","-.09","-.12","-.12",".21",".13","-.17",".07",".2",".17","-.2",".39",".09",".13",".28","-.2",".01","0",
"Gwangju","Business facilities management and business support services; rental and leasing activities","At current prices","","","","19721","26436","31497","44304","55420","76913","84983","92257","108474","118295","136325","139159","99965","124554","135516","141126","162729","190380","296739","440669","461024","571838","613941","725537","714965","745659","908494","1083742","1211888","1366712","1401519","1534548","1619032","1503190","1463282","1550544","1728675","1812140",
"Gwangju","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","","","34610","38233","44211","52579","68706","83511","100968","101588","114620","135356","158042","168765","182076","220658","248928","251872","288613","323263","388736","578172","615221","736363","782593","893780","885685","888910","1079431","1250841","1326944","1488776","1512486","1608925","1673832","1503190","1438317","1459658","1546748","1587971",
"Gwangju","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","","0","0",".08",".13",".16",".29",".21",".25",".01",".13",".19",".17",".07",".09",".16",".11",".01",".12",".11",".2",".68",".12",".36",".14",".33","-.02",".01",".5",".43",".19",".4",".06",".22",".15","-.37","-.14",".05",".19",".09",
"Daejeon","GRDP at market prices","At current prices","","","","","","3941368","4993543","6250350","7207931","8233343","9192618","10566487","11921546","13207024","13198039","13936448","15580806","16673896","18661511","20405176","21749822","22524672","23709098","25207135","26762913","28653056","30947892","32394148","33642497","34498814","35784897","37893020","40347343","41679606","42410316","44901333","46659399","48803055","50666636","53317422","56299352",
"Daejeon","GRDP at market prices","At chained 2020 year prices","","","","","","12584709","14290779","15870152","16786791","18048132","18486370","19975857","21516413","22880912","21776624","23117242","25196684","26014844","27832094","29346440","30263363","30871438","31965704","32901343","33371896","34344817","36610513","37832718","38469506","39001772","39807863","40778650","42451687","43053792","43382180","45590349","46659399","47751082","48631895","49627364","50622206",
"Daejeon","GRDP at market prices","Substantial contribution","","","0","0","0","0","13.56","11.05","5.78","7.51","2.43","8.06","7.71","6.34","-4.83","6.16","9","3.25","6.99","5.44","3.12","2.01","3.54","2.93","1.43","2.92","6.6","3.34","1.68","1.38","2.07","2.44","4.1","1.42",".76","5.09","2.34","2.34","1.84","2.05","2",
"Daejeon","Mining and quarrying","At current prices","","","","","","1327","11387","14026","8929","7268","11529","14566","13132","8155","3494","5336","3506","5313","4547","4516","3751","5606","3637","2574","2852","2125","2890","2174","2899","4403","2623","3920","3180","1386","1849","1977","3441","1608","2875","3538","1646",
"Daejeon","Mining and quarrying","At chained 2020 year prices","","","","","","4557","28686","31114","19945","16293","22451","28194","25279","14801","5977","10031","6950","9671","8681","9158","8108","10066","7402","4945","4549","3479","4198","2702","3522","5079","3061","4006","3128","1286","1749","1870","3441","1679","2839","2815","1112",
"Daejeon","Mining and quarrying","Substantial contribution","","","0","0","0","0",".18",".02","-.08","-.02",".03",".03","-.01","-.05","-.04",".02","-.01",".01","0","0","0","0","-.01","-.01","0","0","0","0","0","0","-.01","0","0","0","0","0","0","0","0","0","0",
"Daejeon","Manufacturing","At current prices","","","","","","862833","1086291","1255082","1227493","1396940","1607347","1832259","2042960","2287034","2272489","2292712","2768812","2710438","3106841","2912508","3434749","3332612","3393978","3933228","4060596","4397853","4898131","5110467","5548568","5963330","6306700","7119604","7531520","7511314","7263834","7707141","7976209","8254811","8398079","8346776","9254316",
"Daejeon","Manufacturing","At chained 2020 year prices","","","","","","2227565","2845929","2829597","2594661","2731670","2934569","3142517","3483166","3701187","3291732","3520537","4222303","4100465","4613278","4284481","4742903","4536981","4794882","5131919","4832614","4826593","5509434","5657230","5997366","6342298","6702321","7263702","7471465","7395053","7152628","7780157","7976209","8224741","8309389","8312764","8664359",
"Daejeon","Manufacturing","Substantial contribution","","","0","0","0","0","6.08","-.12","-1.67",".9","1.26","1.24","1.88","1.07","-1.92","1.2","3.28","-.51","2.03","-1.19","1.53","-.69",".84","1.01","-.91","-.02","2.17",".42",".95",".95",".98","1.48",".54","-.19","-.59","1.5",".43",".53",".17",".01",".66",
"Daejeon","Manufacture of Food Products and Tobacco Products","At current prices","","","","","","130308","192624","222388","163837","202901","231248","251747","250796","312647","311036","270565","347760","322253","332091","317847","435521","410597","442644","516665","613247","724630","624642","638698","870530","922174","900051","1042945","1111016","1070370","1053057","1100750","1216712","1204711","1273087","1275139","1339802",
"Daejeon","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","","","","","494351","639932","669084","451551","494080","491837","535998","514283","609999","516468","440338","562217","520277","514710","480439","612828","576291","658883","692698","672368","687215","759763","757512","1012934","1067975","1037499","1102776","1125356","1149217","1098676","1132094","1216712","1279265","1400354","1324624","1377419",
"Daejeon","Manufacture of Food Products and Tobacco Products","Substantial contribution","","","0","0","0","0",".97",".18","-1.16",".21","-.01",".23","-.1",".39","-.36","-.35",".54","-.17","-.02","-.12",".43","-.12",".26",".1","-.06",".05",".27","-.01",".66",".14","-.08",".16",".06",".06","-.11",".08",".18",".13",".23","-.14",".1",
"Daejeon","Manufacture of Textiles and Leather","At current prices","","","","","","102376","111855","131362","137788","134125","149473","158830","177629","171932","169962","202485","198383","167542","157498","94516","84123","67123","71106","54093","51818","56449","89170","87934","85655","88327","99083","96515","97282","97785","100114","101204","121107","116057","113663","102769","115248",
"Daejeon","Manufacture of Textiles and Leather","At chained 2020 year prices","","","","","","347361","372035","363816","332969","291637","298764","297147","314273","282568","246252","312686","305042","256251","253842","149664","128751","104560","102658","109150","106394","93173","109195","101749","100788","103272","115972","109350","101172","108285","107800","102590","121107","120164","110649","86704","99576",
"Daejeon","Manufacture of Textiles and Leather","Substantial contribution","","","0","0","0","0",".18","-.05","-.18","-.24",".04","-.01",".09","-.15","-.17",".35","-.04","-.2","-.01","-.35","-.06","-.07","-.01",".02","-.01","-.02",".03","-.02","0",".01",".03","-.02","-.02",".02","0","-.01",".04","0","-.02","-.05",".03",
"Daejeon","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","","","","","108363","100083","108889","100579","113900","135428","159342","175953","217066","250141","343366","377054","350346","425667","395689","418778","349214","329771","353913","465439","439765","415901","430982","446815","475401","485172","521852","541678","458624","458514","470989","459485","489345","481479","495123","477101",
"Daejeon","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","","","","","355552","313695","303214","261414","270768","271621","303140","334183","410964","448873","561624","614405","523947","604981","577273","580942","486563","467377","528949","502953","564272","554037","564995","547764","557129","571495","578292","572946","479354","442652","457127","459485","475156","444376","407962","405005",
"Daejeon","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","","0","0","0","0","-.32","-.07","-.24",".05","0",".17",".15",".34",".15",".48",".23","-.36",".32","-.1",".01","-.31","-.06",".18","-.07",".21","-.03",".03","-.04",".02",".04",".02","-.01","-.22","-.08",".04",".01",".03","-.06","-.08","-.01",
"Daejeon","Manufacture of coal, fuel, chemical products","At current prices","","","","","","281983","357609","424283","473629","542746","630977","707439","706290","778482","875644","737902","799969","854541","988253","912928","1050733","1163863","1029407","1034870","1092700","1187365","1438858","1445410","1418848","1617548","1668031","1925132","2057960","1884422","1748782","1696645","1740551","1688980","1557773","1355300","1485512",
"Daejeon","Manufacture of coal, fuel, chemical products","At chained 2020 year prices","","","","","","696590","992756","922140","982989","1046626","1200466","1239394","1254511","1277955","1275087","1196802","1323004","1426417","1581856","1408223","1486126","1564854","1532433","1518464","1470511","1443542","1728426","1688050","1601347","1799588","1827134","2021120","2103533","1945354","1832508","1756924","1740551","1571492","1436237","1240500","1362052",
"Daejeon","Manufacture of coal, fuel, chemical products","Substantial contribution","","","0","0","0","0","3.04","-.51",".45",".43",".97",".22",".08",".11","-.01","-.41",".56",".4",".56","-.58",".25",".26","-.11","-.04","-.13","-.07",".82","-.11","-.23",".52",".07",".49",".21","-.38","-.26","-.17","-.04","-.36","-.3","-.42",".25",
"Daejeon","Manufacture of Other Non-metallic Mineral Products and Metal Products","At current prices","","","","","","106604","135927","181862","169602","177512","191755","207561","225993","243344","199746","186929","217501","238956","270923","259497","338898","346984","342418","436476","328516","351307","470432","557447","508335","537471","590051","676482","672967","665548","689167","776563","820339","786120","779120","841394","980136",
"Daejeon","Manufacture of Other Non-metallic Mineral Products and Metal Products","At chained 2020 year prices","","","","","","302565","401150","450663","421841","403589","425748","420854","459099","470246","338904","333078","380968","403930","447143","417942","493049","498719","484434","511146","423033","445217","505074","579637","527639","551898","604234","708561","687434","682403","711582","783169","820339","650020","528530","521608","568605",
"Daejeon","Manufacture of Other Non-metallic Mineral Products and Metal Products","Substantial contribution","","","0","0","0","0",".88",".34","-.19","-.1",".12","-.02",".18",".05","-.51","-.03",".19",".08",".15","-.09",".23",".02","-.04",".08","-.3",".06",".16",".22","-.15",".07",".15",".28","-.05","-.01",".07",".16",".08","-.37","-.3","-.02",".14",
"Daejeon","Manufacture of electrical, Precision Instruments","At current prices","","","","","","55029","74808","61584","55063","69060","93098","106165","133999","172114","196772","225474","280462","270701","380605","388134","430137","392419","554711","716048","676978","812383","982868","987291","1149521","1206988","1271735","1464029","1562607","1869139","1878997","1943811","2048000","2549393","2703557","2487551","2854311",
"Daejeon","Manufacture of electrical, Precision Instruments","At chained 2020 year prices","","","","","","68652","91118","78646","67221","78942","91753","96239","129570","166852","182866","232339","301513","308880","443191","471092","509896","485975","756541","867042","791542","783134","890805","906310","1037392","1074830","1171245","1330074","1433163","1540509","1581913","1905561","2048000","2572378","2835023","3045327","3075119",
"Daejeon","Manufacture of electrical, Precision Instruments","Substantial contribution","","","0","0","0","0",".46","-.21","-.14",".13",".14",".05",".35",".32",".13",".4",".48",".04",".71",".13",".16","-.09",".97",".34","-.25","-.03",".39",".06",".44",".12",".31",".48",".3",".29",".12",".91",".32","1.12",".53",".4",".05",
"Daejeon","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At current prices","","","","","","78170","113385","124714","126995","156696","175368","241175","372300","391449","269188","325991","547683","506099","551804","543897","676559","602412","623921","821163","831898","825954","876260","962705","1068864","1115421","1292577","1392649","1488010","1465426","1335203","1617179","1570015","1420205","1489400","1789500","2002206",
"Daejeon","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","At chained 2020 year prices","","","","","","206469","296267","321628","287651","355525","356240","468821","700313","703035","433992","593734","927021","843741","932795","910859","1087747","961216","899241","1010779","979763","910389","1076502","1172520","1278884","1304683","1489149","1512277","1536742","1561214","1419527","1646479","1570015","1556266","1604273","1774744","1831865",
"Daejeon","Manufacture of Machine and Transport Vehicles, other manufacturing n.e.c","Substantial contribution","","","0","0","0","0",".86",".19","-.21",".42","0",".6","1.13",".01","-1.13",".75","1.31","-.32",".32","-.07",".52","-.36","-.17",".33","-.1","-.22",".53",".25",".27",".06",".46",".06",".06",".06","-.32",".5","-.17","-.03",".09",".31",".11",
"Daejeon","Professional, scientific and technical activities","At current prices","","","","","","402124","431429","443616","576833","635623","703033","782739","844797","920941","1044580","916922","1045313","1006433","1154112","1354934","1471583","1485853","1501662","1578103","1843767","2273657","2454609","2547040","2564046","2672177","2899658","3067732","3388108","3540904","3620048","3886228","4463202","4600461","5195217","5314768","5254521",
"Daejeon","Professional, scientific and technical activities","At chained 2020 year prices","","","","","","1616162","1503174","1360438","1448440","1491690","1476492","1558180","1618958","1764703","1859702","1880446","2115881","2159787","2268075","2605041","2650349","2644561","2463342","2532633","2728296","3146304","3277947","3334211","3232378","3239754","3501779","3536481","3813785","3822529","3873992","4013568","4463202","4345682","4713763","4620466","4481796",
"Daejeon","Professional, scientific and technical activities","Substantial contribution","","","0","0","0","0","-.71","-.82",".46",".24","-.08",".42",".29",".64",".38",".09",".82",".14",".3",".92",".12","-.01","-.45",".18",".48","1.06",".33",".14","-.24",".02",".63",".08",".63",".02",".11",".31",".97","-.25",".8","-.2","-.3",
"Daejeon","Business facilities management and business support services; rental and leasing activities","At current prices","","","","","","23538","55071","75338","110126","141518","170116","205260","237527","303400","362793","347434","370715","379772","391204","460690","520151","563510","772419","828955","989838","1093382","1281536","1333448","1390343","1473992","1524617","1624655","1614633","1746428","1859712","1967765","2110387","1995098","2256448","2504677","2637418",
"Daejeon","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","","","","","35153","83964","127354","168685","212642","237885","273356","330523","402503","479879","518181","533533","540681","542865","637164","685760","713189","974675","1061488","1223159","1344036","1520815","1613851","1627117","1723673","1744208","1784899","1765514","1888301","1952859","2038725","2110387","1961035","2129529","2252542","2325764",
"Daejeon","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","","0","0","0","0",".83",".57",".39",".4",".2",".28",".41",".43",".44",".22",".07",".03",".01",".36",".17",".1",".92",".29",".5",".37",".5",".25",".03",".25",".05",".1","-.05",".28",".14",".19",".15","-.32",".35",".26",".15",
"Ulsan","GRDP at market prices","At current prices","","","","","","","","","","","","","","","27547333","29120094","31369489","33589834","37666328","37774579","45399861","45837371","47311038","51982173","55906934","53804984","63989674","72041045","73381791","74674568","73436988","76116207","75839539","77390966","75961335","75031057","67807980","79762196","84886776","89412238","93956099",
"Ulsan","GRDP at market prices","At chained 2020 year prices","","","","","","","","","","","","","","","46280404","51379470","53130237","54343863","59513888","58406963","64478366","66682855","67838484","70934248","69798466","68874789","71760257","77699210","78141667","78605846","78730964","79111434","77042517","77113346","76025976","75021093","67807980","72410215","75151722","78963131","81648654",
"Ulsan","GRDP at market prices","Substantial contribution","","","0","0","0","0","0","0","0","0","0","0","0","0","0","11.02","3.41","2.28","9.51","-1.86","10.39","3.42","1.73","4.56","-1.6","-1.32","4.19","8.28",".57",".59",".16",".48","-2.62",".09","-1.41","-1.32","-9.61","6.79","3.79","5.07","3.4",
"Ulsan","Mining and quarrying","At current prices","","","","","","","","","","","","","","","18713","17828","8623","21119","14387","25553","27225","131188","101667","118951","84345","78558","117638","139379","136559","160598","130388","98407","97878","94145","97938","78276","53360","41975","42027","28492","28237",
"Ulsan","Mining and quarrying","At chained 2020 year prices","","","","","","","","","","","","","","","23662","24905","12553","29515","19036","39920","47111","259108","189233","186393","142955","123382","172807","188257","185139","185560","152061","97855","95498","93383","100406","77002","53360","45474","42198","22705","21767",
"Ulsan","Mining and quarrying","Substantial contribution","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-.03",".04","-.02",".04",".01",".27","-.08","0","-.05","-.02",".06",".02","0","0","-.04","-.06","0","0",".01","-.03","-.03","-.01","0","-.02","0",
"Ulsan","Manufacturing","At current prices","","","","","","","","","","","","","","","14623360","15286839","15542392","16382116","17754252","18410113","23687219","23869177","24275997","26380952","29382911","28646394","34803058","43447565","42210412","42041036","39695711","41098570","40116340","39922736","39388283","38484865","32491059","41704900","48372789","50927484","52601585",
"Ulsan","Manufacturing","At chained 2020 year prices","","","","","","","","","","","","","","","23344908","26866598","27920653","29120918","31509666","31819474","37115977","37053492","37565146","38493780","39864150","39853319","40659042","46760822","44759728","44042818","43413592","43731840","41611092","40096773","39916985","39178543","32491059","36580373","38481846","41040958","42482789",
"Ulsan","Manufacturing","Substantial contribution","","","0","0","0","0","0","0","0","0","0","0","0","0","0","8.01","2.06","2.13","4",".46","8.11","-.09",".72","1.27","1.81","-.01","1.08","8.16","-2.58","-.92","-.8",".4","-2.62","-1.93","-.23","-.96","-8.76","6.03","2.72","3.79","2",
"Ulsan","Manufacture of Food Products and Tobacco Products","At current prices","","","","","","","","","","","","","","","113931","102577","105816","108072","135631","123870","136520","132272","145186","126718","140275","163927","193965","161542","200622","215421","211712","221170","220792","197074","222362","225650","218537","219440","233835","267087","293662",
