"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Jeju","Manufacturing","Substantial contribution","","",".07",".24",".26","1.22",".69","-.1",".56","-.06",".01",".23","-.01",".06","-.21",".72",".52",".13",".26",".19",".19",".28","-.17",".4",".48",".1","-.71",".17",".01",".24",".26",".56",".26",".39","-.17","-.18","-.14",".22","-.05","-.04","-.09",
"Jeju","Manufacture of Food Products and Tobacco Products","At current prices","","20919","19407","22012","20748","24333","30558","29382","37786","48065","66566","60829","84127","84945","107324","113244","114347","106771","132001","132820","139569","152744","152149","177714","209777","275298","197043","222538","189449","208006","235196","268273","267805","290671","289933","280832","282637","294877","310180","324130","333472",
"Jeju","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","183312","164253","171937","154456","161380","177516","154604","182534","205379","199243","252683","272148","278690","273827","324037","325567","304211","362063","355066","346825","379999","409825","401359","457209","455980","243733","259844","228654","245868","266457","290559","275235","297757","294476","286142","282637","305752","335755","312543","313851",
"Jeju","Manufacture of Food Products and Tobacco Products","Substantial contribution","","","-.27",".1","-.2",".07",".15","-.2",".21",".17","-.05",".47",".1",".04","-.03",".38",".01","-.12",".31","-.03","-.04",".15",".13","-.03",".25","-.01","-1.12",".11","-.2",".1",".12",".13","-.08",".11","-.01","-.04","-.02",".11",".13","-.09",".01",
"Jeju","Manufacture of Textiles and Leather","At current prices","","668","672","818","760","801","912","628","684","1122","1787","335","444","438","494","391","1227","1384","845","1094","930","2634","2958","2565","3115","3358","3867","4275","7963","8400","10359","8135","8192","8079","7560","7018","8207","7454","7332","7862","8546",
"Jeju","Manufacture of Textiles and Leather","At chained 2020 year prices","","2908","2686","2978","2661","2721","3030","1717","1633","2413","3153","670","749","713","676","616","1928","2167","1405","1785","1465","4221","5220","4553","4824","4403","4739","4959","9383","9859","12140","9190","8563","9006","8176","7131","8207","7758","7092","6616","7399",
"Jeju","Manufacture of Textiles and Leather","Substantial contribution","","","-.01",".01","-.01","0",".01","-.02","0",".01",".01","-.04","0","0","0","0",".01","0","-.01","0","0",".02",".01","0","0","0","0","0",".03","0",".01","-.02","0","0","0","0","0","0","0","0","0",
"Jeju","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","1685","1958","2635","3306","5674","8591","7959","10495","9485","8492","6049","6418","5950","6167","9435","15679","18936","17110","15372","15056","19604","20802","24992","30010","29680","25905","25339","31642","30070","33753","33671","37767","38764","50748","46097","43837","51052","45149","43868","40506",
"Jeju","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","3479","3688","4780","5469","12575","18148","14855","18284","15125","10982","7851","8020","7498","7280","10387","17201","19098","16399","15127","14089","18434","19924","28101","35868","36066","31235","29806","35931","32698","36444","35025","38545","39444","48439","44892","43837","49110","40900","37088","34440",
"Jeju","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","",".01",".06",".03",".33",".15","-.08",".07","-.07","-.08","-.06","0","-.01","0",".05",".11",".03","-.04","-.02","-.01",".05",".02",".09",".07","0","-.03","-.01",".04","-.02",".02","-.01",".02","0",".04","-.02","0",".02","-.04","-.02","-.01",
